Area,Year,agricultural_water_withdrawal,agricultural_water_withdrawal_as_percent_of_total_water_withdrawal,agricultural_water_withdrawal_per_capita,environmental_flow_requirements,industrial_water_withdrawal,industrial_water_withdrawal_as_percent_of_total_water_withdrawal,industrial_water_withdrawal_per_capita,irrigation_water_requirement,irrigation_water_withdrawal,municipal_water_withdrawal,municipal_water_withdrawal_as_percent_of_total_withdrawal,municipal_water_withdrawal_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,water_withdrawal_for_aquaculture,water_withdrawal_for_livestock_watering_cleaning
Australia and New Zealand,2000,16.71108571,69.0395643,726.757111,447.6,0.2,0.826272637,8.697904175,,1.732857143,0.62,2.561445174,26.96350294,24.20508571,1052.66758,,0.248
Australia and New Zealand,2001,16.82257143,68.59662681,723.2032331,447.6,2.550166667,10.39869748,109.6317995,,1.865714286,5.151166667,21.00467571,221.4489267,24.52390476,1054.283959,0.044,0.2518
Australia and New Zealand,2002,16.33055714,67.46359371,693.42796,447.6,2.699583333,11.15231964,114.6296815,,1.998571429,5.176333333,21.38408665,219.7974161,24.20647381,1027.855058,0.04575,0.2556
Australia and New Zealand,2003,15.83854286,66.30044976,664.2001295,447.6,2.849,11.92596965,119.4747639,,2.131428571,5.2015,21.7735806,218.1284607,23.88904286,1001.803354,0.0475,0.2594
Australia and New Zealand,2004,15.34652857,65.10597847,635.872848,447.6,2.998416667,12.72045662,124.2373307,,2.264285714,5.226666667,22.17356491,216.5633357,23.57161191,976.6735144,0.04925,0.2632
Australia and New Zealand,2005,14.85451429,63.87889694,607.9569488,447.6,3.147833333,13.53663386,128.8326977,,2.397142857,5.251833333,22.58446919,214.9439899,23.25418095,951.7336365,0.051,0.267
Australia and New Zealand,2006,13.8285,61.47297763,558.1297019,447.6,3.3425,14.85869239,134.9060656,,13.27,5.32425,23.66832998,214.8911353,22.49525,907.9269028,0.068625,0.2688
Australia and New Zealand,2007,12.69375,59.33669117,504.0839987,447.6,3.47525,16.24498954,138.0063351,1.492,10.2335,5.22375,24.41831929,207.441362,21.39275,849.5316958,0.08625,0.2706
Australia and New Zealand,2008,11.559,56.9682483,450.8821105,447.6,3.608,17.7819396,140.7373177,1.492,8.95,5.12325,25.2498121,199.8427003,20.29025,791.4621285,0.103875,0.2724
Australia and New Zealand,2009,10.42425,54.32763091,399.5294986,447.6,3.74075,19.49551146,143.3714629,1.492,9.2335,5.02275,26.17685763,192.506587,19.18775,735.4075485,0.1215,0.2742
Australia and New Zealand,2010,10.566,55.99067352,398.8170616,447.6,3.757,19.90885486,141.809171,5.384,9.396,4.548,24.10047162,171.6657199,18.871,712.2919525,0.139125,1.0387
Australia and New Zealand,2011,10.557,57.13742271,392.9432499,447.6,3.91,21.16200841,145.534537,5.384,11.16733333,4.009507163,21.70056888,149.238304,18.47650716,687.7160909,0.15675,1.0738
Australia and New Zealand,2012,12.794,60.63790376,469.1891543,447.6,3.872,18.35156818,141.9962799,5.384,12.93866667,4.433014326,21.01052806,162.5701299,21.09901433,773.7555642,0.174375,1.1089
Australia and New Zealand,2013,16.177,65.31537686,584.1311952,447.6,3.703,14.95103174,133.710689,5.384,14.71,4.887521489,19.73359139,176.4822754,24.76752149,894.3241596,0.192,1.144
Australia and New Zealand,2014,15.017,63.63397503,533.9836671,447.6,3.847,16.30151841,136.793978,5.384,12.449,4.735028651,20.06450656,168.3710437,23.59902865,839.1486888,0.226,2.186
Australia and New Zealand,2015,12.607,56.7153865,441.3283736,447.6,3.952,17.77894879,138.3461357,5.384,11.208,4.522535814,20.34563073,158.3186623,22.22853581,778.1457569,0.182,2.278
Australia and New Zealand,2016,14.357,65.70329603,494.2384234,447.6,4.744,21.71041557,163.3117699,5.384,12.96,4.360042977,19.95327676,150.0940842,21.85126298,752.227747,0.00016,1.8276895
Australia and New Zealand,2017,15.297772,68.69178518,517.7298201,447.6,3.900045,17.51242294,131.9910897,5.384,13.789261,3.072345233,13.79579188,103.9788503,22.27016223,753.6997601,0.0001319,1.377379
Australia and New Zealand,2018,15.83472688,69.60195172,527.3925937,447.6,4.130491769,18.15568345,137.5704667,5.384,14.45777815,2.785187757,12.24236485,92.76367102,22.7504064,757.7267312,0.000741598,1.237816
Australia and New Zealand,2019,13.657,66.39398663,448.1213929,447.6,3.924,19.07666424,128.7565604,5.384,12.15,2.988633928,14.52934913,98.06478719,20.56963393,674.9427405,0.0007586,1.376
Australia and New Zealand,2020,11.627,62.98142029,377.2833561,447.6,4.164,22.55565787,135.1172181,5.384,10.31,2.67,14.46292184,86.63856203,18.461,599.0391362,0.0007436,1.186
Australia and New Zealand,2021,14.047,65.84171178,452.1355737,447.6,4.374,20.5020038,140.7874279,5.384,12.53,2.9135,13.65628442,93.7778169,21.3345,686.7008185,0.0007436,1.386
Australia and New Zealand,2022,14.397,66.44360347,459.4290953,447.6,4.294,19.81724202,137.0277513,5.384,12.78,2.977,13.73915451,95.00037624,21.668,691.4572228,0.0007436,1.486
Central Asia,2000,110.7704286,85.99027838,1971.680683,70.633,7.920957143,6.148981443,140.9906813,,,6.716,5.213581973,119.5428025,128.8173857,2292.911153,8.468,
